id,address,docks_in_service,latitude,longitude,station_name,total_docks,num_trips_to,num_trips_from
493,Oakley Ave & Roscoe St,15,41.942916,-87.685801,Oakley Ave & Roscoe St,15,3443,3252
494,Kedzie Ave & Bryn Mawr Ave,15,41.982397085,-87.70892252,Kedzie Ave & Bryn Mawr Ave,15,552,517
495,Keystone Ave & Montrose Ave,15,41.961108016,-87.728970101,Keystone Ave & Montrose Ave,15,642,637
496,Avers Ave & Belmont Ave,11,41.939408,-87.723574,Avers Ave & Belmont Ave,11,955,923
497,Kimball Ave & Belmont Ave,23,41.939398,-87.711561,Kimball Ave & Belmont Ave,23,1613,1779
498,California Ave & Fletcher St,18,41.938428791,-87.698007756,California Ave & Fletcher St,19,1836,1731
499,Kosciuszko Park,15,41.930585371,-87.723777364,Kosciuszko Park,15,1403,1373
500,Central Park Ave & Elbridge Ave,15,41.935337283,-87.716889294,Central Park Ave & Elbridge Ave,15,1064,1001
501,Richmond St & Diversey Ave,15,41.931901969,-87.70119513,Richmond St & Diversey Ave,15,2410,2272
502,California Ave & Altgeld St,14,41.92669,-87.697668,California Ave & Altgeld St,15,2718,2590
503,Drake Ave & Fullerton Ave,15,41.924398819,-87.715441036,Drake Ave & Fullerton Ave,15,2549,2276
504,Campbell Ave & Fullerton Ave,14,41.924632472,-87.689307006,Campbell Ave & Fullerton Ave,15,3433,3440
505,Winchester Ave & Elston Ave,14,41.92409085,-87.676460075,Winchester Ave & Elston Ave,15,2392,2210
506,Spaulding Ave & Armitage Ave,15,41.917183752,-87.710356652,Spaulding Ave & Armitage Ave,15,3818,3765
507,Humboldt Blvd & Armitage Ave,19,41.917513394,-87.701808955,Humboldt Blvd & Armitage Ave,19,4662,4802
508,Central Park Ave & North Ave,15,41.909656876,-87.716631952,Central Park Ave & North Ave,15,1092,1056
509,Troy St & North Ave,14,41.909769302,-87.705280487,Troy St & North Ave,15,1815,1795
510,Spaulding Ave & Division St,15,41.902706594,-87.709219571,Spaulding Ave & Division St,15,944,1079
511,Albany Ave & Bloomingdale Ave,14,41.914026713,-87.705126462,Albany Ave & Bloomingdale Ave,15,4446,4680
514,Ridge Blvd & Howard St,15,42.019276,-87.68452,Ridge Blvd & Howard St,15,670,716
515,Paulina St & Howard St,23,42.019159,-87.673573,Paulina St & Howard St,23,2203,2011
517,Clark St & Jarvis Ave,15,42.015963,-87.675005,Clark St & Jarvis Ave,15,902,900
518,Conservatory Dr & Lake St,15,41.885502,-87.716866,Conservatory Dr & Lake St,15,722,599
519,Wolcott Ave & Fargo Ave,11,42.016977,-87.677725,Wolcott Ave & Fargo Ave,11,298,257
520,Greenview Ave & Jarvis Ave,23,42.015962,-87.66857,Greenview Ave & Jarvis Ave,23,2546,2431
522,Bosworth Ave & Howard St,15,42.019537,-87.669563,Bosworth Ave & Howard St,15,885,905
523,Eastlake Ter & Rogers Ave,15,42.021019,-87.665086,Eastlake Ter & Rogers Ave,15,2167,2470
524,Austin Blvd & Chicago Ave,11,41.894887,-87.774704,Austin Blvd & Chicago Ave,11,197,192
525,Glenwood Ave & Touhy Ave,15,42.012701,-87.666058,Glenwood Ave & Touhy Ave,15,677,763
526,Oakley Ave & Touhy Ave,15,42.012342,-87.688243,Oakley Ave & Touhy Ave,15,458,383
527,Western Ave & Howard St,19,42.018901,-87.690048,Western Ave & Howard St,19,465,469
528,Pulaski Rd & Lake St,14,41.885409,-87.726491,Pulaski Rd & Lake St,14,228,207
529,Cicero Ave & Lake St,15,41.886841,-87.745261,Cicero Ave & Lake St,15,56,68
530,Laramie Ave & Kinzie St,15,41.887832,-87.755527,Laramie Ave & Kinzie St,15,88,92
531,Central Ave & Lake St,15,41.887664,-87.765469,Central Ave & Lake St,15,78,92
532,Austin Blvd & Lake St,15,41.887919,-87.774446,Austin Blvd & Lake St,15,249,301
533,Central Park Blvd & 5th Ave,15,41.875679,-87.71547,Central Park Blvd & 5th Ave,15,123,130
534,Pulaski Rd & Madison St,15,41.880827,-87.726279,Pulaski Rd & Madison St,15,123,109
535,Pulaski Rd & Congress Pkwy,15,41.874325,-87.725704,Pulaski Rd & Congress Pkwy,15,113,89
536,Kostner Ave & Lake St,15,41.885928,-87.73541,Kostner Ave & Lake St,15,61,99
537,Kenton Ave & Madison St,15,41.880708,-87.741018,Kenton Ave & Madison St,15,25,27
538,Cicero Ave & Flournoy St,15,41.872131,-87.746619,Cicero Ave & Flournoy St,15,10,13
539,Cicero Ave & Quincy St,15,41.877613,-87.745405,Cicero Ave & Quincy St,15,32,46
